SampleID,Colony,Treatment,timepoint,weight,WingAvgmm
HW038,QP3,PS9d,6,0.5837,3.95
HW038,QP3,PS9d,9,0.6302,3.95
HW038,QP3,PS9d,12,0.6473,3.95
HW040,QP3,NS6d,0,0.5045,3.9
HW040,QP3,NS6d,3,0.4654,3.9
HW040,QP3,NS6d,6,0.3705,3.9
HW040,QP3,NS6d,9,0.5344,3.9
HW040,QP3,NS6d,12,0.5442,3.9
HW043,QP3,PS6d,0,0.6343,4.3
HW043,QP3,PS6d,3,0.546,4.3
HW043,QP3,PS6d,6,0.6842,4.3
HW043,QP3,PS6d,9,0.7195,4.3
HW043,QP3,PS6d,12,0.7038,4.3
HW044,QP3,PS9d,0,0.6482,4.25
HW044,QP3,PS9d,3,0.5857,4.25
HW044,QP3,PS9d,6,0.6275,4.25
HW044,QP3,PS9d,9,0.6725,4.25
HW044,QP3,PS9d,12,0.6745,4.25
HW045,QP3,PS6d,0,0.4972,3.85
HW045,QP3,PS6d,3,0.4786,3.85
HW045,QP3,PS6d,6,0.5722,3.85
HW045,QP3,PS6d,9,0.6005,3.85
HW045,QP3,PS6d,12,0.6027,3.85
HW046,QP3,PS9d,0,0.6241,4.1
HW046,QP3,PS9d,3,0.6642,4.1
HW046,QP3,PS9d,6,0.6027,4.1
HW046,QP3,PS9d,9,0.6308,4.1
HW046,QP3,PS9d,12,0.6658,4.1
HW047,QP3,PS12d,0,0.5864,4.2
HW047,QP3,PS12d,3,0.5381,4.2
HW047,QP3,PS12d,6,0.5901,4.2
HW047,QP3,PS12d,9,0.6704,4.2
HW047,QP3,PS12d,12,0.6205,4.2
HW048,QP3,NS3d,0,0.5511,4.2
HW048,QP3,NS3d,3,0.5272,4.2
HW048,QP3,NS3d,6,0.5861,4.2
HW048,QP3,NS3d,9,0.6359,4.2
HW048,QP3,NS3d,12,0.6825,4.2
HW049,QP3,NS6d,0,0.5963,4
HW049,QP3,NS6d,3,0.4709,4
HW049,QP3,NS6d,6,0.4642,4
HW049,QP3,NS6d,9,0.5971,4
HW049,QP3,NS6d,12,0.6239,4
HW051,QP3,PS3d,0,0.5864,4.3
HW051,QP3,PS3d,3,0.6414,4.3
HW051,QP3,PS3d,6,0.6681,4.3
HW051,QP3,PS3d,9,0.6718,4.3
HW051,QP3,PS3d,12,0.6688,4.3
HW053,QP3,PS12d,0,0.5605,4.25
HW053,QP3,PS12d,3,0.5119,4.25
HW053,QP3,PS12d,6,0.591,4.25
HW053,QP3,PS12d,9,0.644,4.25
HW053,QP3,PS12d,12,0.6238,4.25
HW054,QP3,control,0,0.5182,4.1
HW054,QP3,control,3,0.6191,4.1
HW054,QP3,control,6,0.68,4.1
HW054,QP3,control,9,0.6246,4.1
HW054,QP3,control,12,0.6452,4.1
HW055,QP3,PS6d,0,0.6063,4.2
HW055,QP3,PS6d,3,0.6364,4.2
HW055,QP3,PS6d,6,0.7194,4.2
HW055,QP3,PS6d,9,0.6804,4.2
HW055,QP3,PS6d,12,0.6964,4.2
HW056,QP3,PS9d,0,0.5723,4.2
HW056,QP3,PS9d,3,0.5566,4.2
HW056,QP3,PS9d,6,0.6385,4.2
HW056,QP3,PS9d,9,0.6749,4.2
HW056,QP3,PS9d,12,0.6566,4.2
HW057,QP3,PS3d,0,0.6261,4.3
HW057,QP3,PS3d,3,0.5685,4.3
HW057,QP3,PS3d,6,0.6728,4.3
HW057,QP3,PS3d,9,0.6755,4.3
HW057,QP3,PS3d,12,0.7169,4.3
HW058,QP3,NS3d,0,0.5163,3.85
HW058,QP3,NS3d,3,0.5353,3.85
HW058,QP3,NS3d,6,0.5884,3.85
HW058,QP3,NS3d,9,0.6202,3.85
HW058,QP3,NS3d,12,0.697,3.85
HW059,QP3,NS6d,0,0.4975,4
HW059,QP3,NS6d,3,0.4801,4
HW059,QP3,NS6d,6,0.4425,4
HW059,QP3,NS6d,9,0.5287,4
HW059,QP3,NS6d,12,0.5711,4
HW062,WP7,PS3d,0,0.4227,3.6
HW062,WP7,PS3d,3,0.3385,3.6
HW062,WP7,PS3d,6,0.4081,3.6
HW062,WP7,PS3d,9,0.4249,3.6
HW062,WP7,PS3d,12,0.4784,3.6
HW065,WP9,PS6d,0,0.501,3.75
HW065,WP9,PS6d,3,0.512,3.75
HW065,WP9,PS6d,6,0.5095,3.75
HW065,WP9,PS6d,9,0.4636,3.75
HW065,WP9,PS6d,12,0.5026,3.75
HW066,BS01,PS9d,0,0.6816,4.3
HW066,BS01,PS9d,3,0.7399,4.3
HW066,BS01,PS9d,6,0.8238,4.3
HW066,BS01,PS9d,9,0.8047,4.3
HW066,BS01,PS9d,12,0.7958,4.3
HW071,WP8,NS6d,0,0.5905,4.15
HW071,WP8,NS6d,3,0.5298,4.15
HW071,WP8,NS6d,6,0.422,4.15
HW071,WP8,NS6d,9,0.5269,4.15
HW071,WP8,NS6d,12,0.5696,4.15
HW073,MP10,NS6d,0,0.6865,4.25
HW073,MP10,NS6d,3,0.6204,4.25
HW073,MP10,NS6d,6,0.4875,4.25
HW073,MP10,NS6d,9,0.7371,4.25
HW073,MP10,NS6d,12,0.6592,4.25
HW074,BS01,PS6d,0,0.5465,4.2
HW074,BS01,PS6d,3,0.605,4.2
HW074,BS01,PS6d,6,0.5648,4.2
HW074,BS01,PS6d,9,0.5924,4.2
HW074,BS01,PS6d,12,0.6009,4.2
HW075,BS02,NS6d,0,0.5131,4
HW075,BS02,NS6d,3,0.4595,4
HW075,BS02,NS6d,6,0.2979,4
HW075,BS02,NS6d,9,0.5657,4
HW075,BS02,NS6d,12,0.5943,4
HW076,BS02,PS6d,0,0.5304,3.95
HW076,BS02,PS6d,3,0.5008,3.95
HW076,BS02,PS6d,6,0.5871,3.95
HW076,BS02,PS6d,9,0.6239,3.95
HW076,BS02,PS6d,12,0.5962,3.95
