SampleID,Colony,Treatment,timepoint,died,WingAvgmm,StartWt
HW113,ABS05,PS6d,6,0,3.15,0.2746
HW113,ABS05,PS6d,9,0,3.15,0.2746
HW113,ABS05,PS6d,12,0,3.15,0.2746
HW114,ABS05,NS3d,0,0,3.6,0.3817
HW114,ABS05,NS3d,3,1,3.6,0.3817
HW114,ABS05,NS3d,6,1,3.6,0.3817
HW114,ABS05,NS3d,9,1,3.6,0.3817
HW114,ABS05,NS3d,12,1,3.6,0.3817
HW115,ABS05,NS6d,0,0,3.35,0.3166
HW115,ABS05,NS6d,3,0,3.35,0.3166
HW115,ABS05,NS6d,6,1,3.35,0.3166
HW115,ABS05,NS6d,9,1,3.35,0.3166
HW115,ABS05,NS6d,12,1,3.35,0.3166
HW116,ABS05,PS9d,0,0,3.7,0.4587
HW116,ABS05,PS9d,3,0,3.7,0.4587
HW116,ABS05,PS9d,6,0,3.7,0.4587
HW116,ABS05,PS9d,9,0,3.7,0.4587
HW116,ABS05,PS9d,12,0,3.7,0.4587
HW117,ABS05,NS6d,0,0,NA,0.5559
HW117,ABS05,NS6d,3,0,NA,0.5559
HW117,ABS05,NS6d,6,1,NA,0.5559
HW117,ABS05,NS6d,9,1,NA,0.5559
HW117,ABS05,NS6d,12,1,NA,0.5559
