SampleID,Colony,Treatment,timepoint,died,WingAvgmm,StartWt
HW026,QP3,control,3,0,4.2,0.6291
HW026,QP3,control,6,0,4.2,0.6291
HW026,QP3,control,9,0,4.2,0.6291
HW026,QP3,control,12,0,4.2,0.6291
HW027,QP2,NS6d,0,0,3.75,0.3864
HW027,QP2,NS6d,3,0,3.75,0.3864
HW027,QP2,NS6d,6,0,3.75,0.3864
HW027,QP2,NS6d,9,0,3.75,0.3864
HW027,QP2,NS6d,12,0,3.75,0.3864
HW029,QP3,PS3d,0,0,NA,0.6168
HW029,QP3,PS3d,3,0,NA,0.6168
HW029,QP3,PS3d,6,0,NA,0.6168
HW029,QP3,PS3d,9,0,NA,0.6168
HW029,QP3,PS3d,12,0,NA,0.6168
HW030,QP3,NS6d,0,0,4.35,0.6102
HW030,QP3,NS6d,3,0,4.35,0.6102
HW030,QP3,NS6d,6,1,4.35,0.6102
HW030,QP3,NS6d,9,1,4.35,0.6102
HW030,QP3,NS6d,12,1,4.35,0.6102
HW031,QP3,PS6d,0,0,NA,0.6406
HW031,QP3,PS6d,3,0,NA,0.6406
HW031,QP3,PS6d,6,0,NA,0.6406
HW031,QP3,PS6d,9,0,NA,0.6406
HW031,QP3,PS6d,12,0,NA,0.6406
HW032,QP3,PS12d,0,0,NA,0.621
HW032,QP3,PS12d,3,0,NA,0.621
HW032,QP3,PS12d,6,0,NA,0.621
HW032,QP3,PS12d,9,0,NA,0.621
HW032,QP3,PS12d,12,0,NA,0.621
HW033,QP3,PS9d,0,0,NA,0.608
HW033,QP3,PS9d,3,0,NA,0.608
HW033,QP3,PS9d,6,0,NA,0.608
HW033,QP3,PS9d,9,0,NA,0.608
HW033,QP3,PS9d,12,0,NA,0.608
HW034,QP3,NS12d,0,0,4.2,0.6173
HW034,QP3,NS12d,3,0,4.2,0.6173
HW034,QP3,NS12d,6,1,4.2,0.6173
HW034,QP3,NS12d,9,1,4.2,0.6173
HW034,QP3,NS12d,12,1,4.2,0.6173
HW035,QP3,NS9d,0,0,4.2,0.619
HW035,QP3,NS9d,3,0,4.2,0.619
HW035,QP3,NS9d,6,0,4.2,0.619
HW035,QP3,NS9d,9,0,4.2,0.619
HW035,QP3,NS9d,12,1,4.2,0.619
HW036,QP3,control,0,0,NA,0.6113
HW036,QP3,control,3,0,NA,1.6113
HW036,QP3,control,6,0,NA,2.6113
HW036,QP3,control,9,0,NA,3.6113
HW036,QP3,control,12,0,NA,4.6113
HW037,QP3,PS6d,0,0,4.1,0.5689
HW037,QP3,PS6d,3,0,4.1,0.5689
HW037,QP3,PS6d,6,0,4.1,0.5689
HW037,QP3,PS6d,9,0,4.1,0.5689
HW037,QP3,PS6d,12,0,4.1,0.5689
HW038,QP3,PS9d,0,0,3.95,0.5532
HW038,QP3,PS9d,3,0,3.95,0.5532
HW038,QP3,PS9d,6,0,3.95,0.5532
HW038,QP3,PS9d,9,0,3.95,0.5532
HW038,QP3,PS9d,12,0,3.95,0.5532
HW039,QP3,NS9d,0,0,4,0.5501
HW039,QP3,NS9d,3,0,4,0.5501
HW039,QP3,NS9d,6,0,4,0.5501
HW039,QP3,NS9d,9,1,4,0.5501
HW039,QP3,NS9d,12,1,4,0.5501
HW040,QP3,NS6d,0,0,3.9,0.5045
HW040,QP3,NS6d,3,0,3.9,0.5045
HW040,QP3,NS6d,6,0,3.9,0.5045
HW040,QP3,NS6d,9,0,3.9,0.5045
HW040,QP3,NS6d,12,0,3.9,0.5045
HW041,QP3,NS9d,0,0,4.15,0.5975
HW041,QP3,NS9d,3,0,4.15,0.5975
HW041,QP3,NS9d,6,1,4.15,0.5975
HW041,QP3,NS9d,9,1,4.15,0.5975
HW041,QP3,NS9d,12,1,4.15,0.5975
HW042,QP3,NS12d,0,0,4.25,0.5963
HW042,QP3,NS12d,3,0,4.25,0.5963
HW042,QP3,NS12d,6,1,4.25,0.5963
HW042,QP3,NS12d,9,1,4.25,0.5963
HW042,QP3,NS12d,12,1,4.25,0.5963
HW043,QP3,PS6d,0,0,4.3,0.6343
HW043,QP3,PS6d,3,0,4.3,0.6343
HW043,QP3,PS6d,6,0,4.3,0.6343
HW043,QP3,PS6d,9,0,4.3,0.6343
HW043,QP3,PS6d,12,0,4.3,0.6343
HW044,QP3,PS9d,0,0,4.25,0.6482
HW044,QP3,PS9d,3,0,4.25,0.6482
HW044,QP3,PS9d,6,0,4.25,0.6482
HW044,QP3,PS9d,9,0,4.25,0.6482
HW044,QP3,PS9d,12,0,4.25,0.6482
HW045,QP3,PS6d,0,0,3.85,0.4972
HW045,QP3,PS6d,3,0,3.85,0.4972
HW045,QP3,PS6d,6,0,3.85,0.4972
HW045,QP3,PS6d,9,0,3.85,0.4972
HW045,QP3,PS6d,12,0,3.85,0.4972
HW046,QP3,PS9d,0,0,4.1,0.6241
HW046,QP3,PS9d,3,0,4.1,0.6241
HW046,QP3,PS9d,6,0,4.1,0.6241
HW046,QP3,PS9d,9,0,4.1,0.6241
HW046,QP3,PS9d,12,0,4.1,0.6241
HW047,QP3,PS12d,0,0,4.2,0.5864
HW047,QP3,PS12d,3,0,4.2,0.5864
HW047,QP3,PS12d,6,0,4.2,0.5864
HW047,QP3,PS12d,9,0,4.2,0.5864
HW047,QP3,PS12d,12,0,4.2,0.5864
HW048,QP3,NS3d,0,0,4.2,0.5511
HW048,QP3,NS3d,3,0,4.2,0.5511
HW048,QP3,NS3d,6,0,4.2,0.5511
HW048,QP3,NS3d,9,0,4.2,0.5511
HW048,QP3,NS3d,12,0,4.2,0.5511
HW049,QP3,NS6d,0,0,4,0.5963
HW049,QP3,NS6d,3,0,4,0.5963
HW049,QP3,NS6d,6,0,4,0.5963
HW049,QP3,NS6d,9,0,4,0.5963
HW049,QP3,NS6d,12,0,4,0.5963
HW050,QP3,NS9d,0,0,4.4,0.672
HW050,QP3,NS9d,3,0,4.4,0.672
HW050,QP3,NS9d,6,1,4.4,0.672
HW050,QP3,NS9d,9,1,4.4,0.672
HW050,QP3,NS9d,12,1,4.4,0.672
HW051,QP3,PS3d,0,0,4.3,0.5864
HW051,QP3,PS3d,3,0,4.3,0.5864
HW051,QP3,PS3d,6,0,4.3,0.5864
HW051,QP3,PS3d,9,0,4.3,0.5864
HW051,QP3,PS3d,12,0,4.3,0.5864
HW052,QP3,NS12d,0,0,4.15,0.5379
HW052,QP3,NS12d,3,0,4.15,0.5379
HW052,QP3,NS12d,6,0,4.15,0.5379
HW052,QP3,NS12d,9,1,4.15,0.5379
HW052,QP3,NS12d,12,1,4.15,0.5379
HW053,QP3,PS12d,0,0,4.25,0.5605
HW053,QP3,PS12d,3,0,4.25,0.5605
HW053,QP3,PS12d,6,0,4.25,0.5605
HW053,QP3,PS12d,9,0,4.25,0.5605
HW053,QP3,PS12d,12,0,4.25,0.5605
HW054,QP3,control,0,0,4.1,0.5182
HW054,QP3,control,3,0,4.1,0.5182
HW054,QP3,control,6,0,4.1,0.5182
HW054,QP3,control,9,0,4.1,0.5182
HW054,QP3,control,12,0,4.1,0.5182
HW055,QP3,PS6d,0,0,4.2,0.6063
HW055,QP3,PS6d,3,0,4.2,0.6063
HW055,QP3,PS6d,6,0,4.2,0.6063
HW055,QP3,PS6d,9,0,4.2,0.6063
HW055,QP3,PS6d,12,0,4.2,0.6063
HW056,QP3,PS9d,0,0,4.2,0.5723
HW056,QP3,PS9d,3,0,4.2,0.5723
HW056,QP3,PS9d,6,0,4.2,0.5723
HW056,QP3,PS9d,9,0,4.2,0.5723
HW056,QP3,PS9d,12,0,4.2,0.5723
HW057,QP3,PS3d,0,0,4.3,0.6261
HW057,QP3,PS3d,3,0,4.3,0.6261
HW057,QP3,PS3d,6,0,4.3,0.6261
HW057,QP3,PS3d,9,0,4.3,0.6261
HW057,QP3,PS3d,12,0,4.3,0.6261
HW058,QP3,NS3d,0,0,3.85,0.5163
HW058,QP3,NS3d,3,0,3.85,0.5163
HW058,QP3,NS3d,6,0,3.85,0.5163
HW058,QP3,NS3d,9,0,3.85,0.5163
HW058,QP3,NS3d,12,0,3.85,0.5163
HW059,QP3,NS6d,0,0,4,0.4975
HW059,QP3,NS6d,3,0,4,0.4975
HW059,QP3,NS6d,6,0,4,0.4975
HW059,QP3,NS6d,9,0,4,0.4975
HW059,QP3,NS6d,12,0,4,0.4975
HW060,QP3,NS9d,0,0,NA,0.5583
HW060,QP3,NS9d,3,0,NA,1.5583
HW060,QP3,NS9d,6,0,NA,2.5583
HW060,QP3,NS9d,9,1,NA,3.5583
HW060,QP3,NS9d,12,1,NA,4.5583
HW061,WP9,NS3d,0,0,3.75,0.3814
HW061,WP9,NS3d,3,0,3.75,0.3814
HW061,WP9,NS3d,6,1,3.75,0.3814
HW061,WP9,NS3d,9,1,3.75,0.3814
HW061,WP9,NS3d,12,1,3.75,0.3814
HW062,WP7,PS3d,0,0,3.6,0.4227
HW062,WP7,PS3d,3,0,3.6,0.4227
HW062,WP7,PS3d,6,0,3.6,0.4227
HW062,WP7,PS3d,9,0,3.6,0.4227
HW062,WP7,PS3d,12,0,3.6,0.4227
HW065,WP9,PS6d,0,0,3.75,0.501
HW065,WP9,PS6d,3,0,3.75,0.501
HW065,WP9,PS6d,6,0,3.75,0.501
HW065,WP9,PS6d,9,0,3.75,0.501
HW065,WP9,PS6d,12,0,3.75,0.501
HW066,BS01,PS9d,0,0,4.3,0.6816
HW066,BS01,PS9d,3,0,4.3,0.6816
HW066,BS01,PS9d,6,0,4.3,0.6816
HW066,BS01,PS9d,9,0,4.3,0.6816
HW066,BS01,PS9d,12,0,4.3,0.6816
HW067,BS01,NS3d,0,0,NA,0.5196
HW067,BS01,NS3d,3,1,NA,1.5196
HW067,BS01,NS3d,6,1,NA,2.5196
HW067,BS01,NS3d,9,1,NA,3.5196
HW067,BS01,NS3d,12,1,NA,4.5196
HW068,MP10,NS3d,0,0,4.3,0.7157
HW068,MP10,NS3d,3,0,4.3,0.7157
HW068,MP10,NS3d,6,0,4.3,0.7157
HW068,MP10,NS3d,9,1,4.3,0.7157
HW068,MP10,NS3d,12,1,4.3,0.7157
HW069,WP9,NS3d,0,0,4,0.4802
HW069,WP9,NS3d,3,0,4,0.4802
HW069,WP9,NS3d,6,0,4,0.4802
HW069,WP9,NS3d,9,1,4,0.4802
HW069,WP9,NS3d,12,1,4,0.4802
HW070,WP7,NS6d,0,0,4.05,0.541
HW070,WP7,NS6d,3,0,4.05,0.541
HW070,WP7,NS6d,6,0,4.05,0.541
HW070,WP7,NS6d,9,1,4.05,0.541
HW070,WP7,NS6d,12,1,4.05,0.541
HW071,WP8,NS6d,0,0,4.15,0.5905
HW071,WP8,NS6d,3,0,4.15,0.5905
HW071,WP8,NS6d,6,0,4.15,0.5905
HW071,WP8,NS6d,9,0,4.15,0.5905
HW071,WP8,NS6d,12,0,4.15,0.5905
HW072,WP8,NS3d,0,0,3.95,0.3595
HW072,WP8,NS3d,3,0,3.95,0.3595
HW072,WP8,NS3d,6,0,3.95,0.3595
HW072,WP8,NS3d,9,0,3.95,0.3595
HW072,WP8,NS3d,12,1,3.95,0.3595
HW073,MP10,NS6d,0,0,4.25,0.6865
HW073,MP10,NS6d,3,0,4.25,0.6865
HW073,MP10,NS6d,6,0,4.25,0.6865
HW073,MP10,NS6d,9,0,4.25,0.6865
HW073,MP10,NS6d,12,0,4.25,0.6865
HW074,BS01,PS6d,0,0,4.2,0.5465
HW074,BS01,PS6d,3,0,4.2,0.5465
HW074,BS01,PS6d,6,0,4.2,0.5465
HW074,BS01,PS6d,9,0,4.2,0.5465
HW074,BS01,PS6d,12,0,4.2,0.5465
HW075,BS02,NS6d,0,0,4,0.5131
HW075,BS02,NS6d,3,0,4,0.5131
HW075,BS02,NS6d,6,0,4,0.5131
HW075,BS02,NS6d,9,0,4,0.5131
HW075,BS02,NS6d,12,0,4,0.5131
HW076,BS02,PS6d,0,0,3.95,0.5304
HW076,BS02,PS6d,3,0,3.95,0.5304
HW076,BS02,PS6d,6,0,3.95,0.5304
HW076,BS02,PS6d,9,0,3.95,0.5304
HW076,BS02,PS6d,12,0,3.95,0.5304
HW077,WP8,PS6d,0,0,3.6,0.4036
HW077,WP8,PS6d,3,0,3.6,0.4036
HW077,WP8,PS6d,6,0,3.6,0.4036
HW077,WP8,PS6d,9,0,3.6,0.4036
HW077,WP8,PS6d,12,0,3.6,0.4036
HW078,MP10,NS9d,0,0,3.75,0.4488
HW078,MP10,NS9d,3,0,3.75,0.4488
HW078,MP10,NS9d,6,1,3.75,0.4488
HW078,MP10,NS9d,9,1,3.75,0.4488
HW078,MP10,NS9d,12,1,3.75,0.4488
HW079,MP10,PS9d,0,0,3.8,0.4589
HW079,MP10,PS9d,3,0,3.8,0.4589
HW079,MP10,PS9d,6,0,3.8,0.4589
HW079,MP10,PS9d,9,0,3.8,0.4589
HW079,MP10,PS9d,12,0,3.8,0.4589
HW080,MP10,PS9d,0,0,3.9,0.5048
HW080,MP10,PS9d,3,0,3.9,0.5048
HW080,MP10,PS9d,6,0,3.9,0.5048
HW080,MP10,PS9d,9,0,3.9,0.5048
HW080,MP10,PS9d,12,0,3.9,0.5048
HW081,BS03,PS12d,0,0,3.5,0.3368
HW081,BS03,PS12d,3,0,3.5,0.3368
HW081,BS03,PS12d,6,0,3.5,0.3368
HW081,BS03,PS12d,9,0,3.5,0.3368
HW081,BS03,PS12d,12,0,3.5,0.3368
HW082,BS03,NS12d,0,0,4,0.5148
HW082,BS03,NS12d,3,0,4,0.5148
HW082,BS03,NS12d,6,1,4,0.5148
HW082,BS03,NS12d,9,1,4,0.5148
HW082,BS03,NS12d,12,1,4,0.5148
HW084,WP8,PS12d,0,0,4.15,0.6332
HW084,WP8,PS12d,3,0,4.15,0.6332
HW084,WP8,PS12d,6,0,4.15,0.6332
